Brand, Product Name, Product Price
Lenovo,Lenovo Laptop IdeaPad 330 81D30001US AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 1 TB HDD AMD Radeon Vega 8 15.6" Touchscreen Windows 10 Home 64-Bit,Rp7.576.639
Lenovo,Lenovo Laptop IdeaPad 330S 81FB0005US AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,Rp10.012.674
Lenovo,Lenovo IdeaPad 320 15.6" Touchscreen Intel i7-8550U (8th Gen Quad Core) 12GB RAM 1TB HDD DVDRW Wireless AC Win 10 Home Laptop,Rp11.382.221
Lenovo,Lenovo Laptop V330 (81AX00BWUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 500 GB HDD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,Rp7.142.715
Lenovo,Lenovo Laptop ThinkPad E480 (20KN003SUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 500 GB HDD Intel HD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp10.596.961
Lenovo,Lenovo Laptop ThinkPad E480 (20KN003UUS) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 500 GB HDD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp11.414.286
Lenovo,Lenovo Laptop ThinkPad E480 (20KN0040US) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 128 GB SSD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp11.691.370
Lenovo,Lenovo Laptop ThinkPad E480 (20KN0032US) Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD AMD Radeon RX 550 14.0" Windows 10 Pro 64-Bit,Rp14.708.000
Acer America,Acer CB5-312T-K0YQ 13.3" Touchscreen LED (In-plane Switching (IPS) Technology) Chromebook - MediaTek M8173C Quad-core (4 Core) 2.10 GHz,Rp6.193.718
Apple,Apple - MacBook Air - 13.3" Retina Display - Intel Core i5 - 8 GB Memory - 128 GB Flash Storage (Latest Model) - Space Gray,Rp15.714.144
Lenovo,Lenovo Laptop IdeaPad 320S-15IKB (81BQ000DUS) Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,Rp13.460.932
ASUS,ASUS Laptop X505BA-RB94 AMD A9-Series A9-9420 (3.0 GHz) 8 GB Memory 1 TB HDD AMD Radeon R5 Series 15.6" Windows 10 Home 64-Bit,Rp6.229.875
Acer America,Acer Swift 3 SF314-54-39BH 14" LCD Notebook - Intel Core i3 (8th Gen) i3-8130U Dual-core (2 Core) 2.20 GHz - 4 GB DDR4 SDRAM - 128 GB SSD - Windows 10 Home in S mode 64-bit - 1920 x 1080 - In-plane...,Rp7.141.443
Lenovo,Lenovo IdeaPad 720S Touch-15IKB 81CR0007US 15.6" Touchscreen LCD Notebook - Intel Core i7 (7th Gen) i7-7700HQ Quad-core (4 Core) 2.80 GHz - 16 GB DDR4 SDRAM - 512 GB SSD - Windows 10 Home - 3840 x,Rp20.007.831
